id,subdomain,source_doi,risk_level,risk_label,issue_count,recommended_action,num_steps,invalid_steps,title,parsed_title,file_path,parsed_path
NPP_0196,ml_alpha_halflife,arxiv_2103.04667,P0,删除或替换,5,从 final 集合移除，或以同子领域核物理论文样本替换。,22,5,Voting in Transfer Learning System for Ground-Based Cloud Classification,Voting in Transfer Learning System for Ground-Based Cloud Classification,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0196.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\机器学习_alpha半衰期\arxiv_2103.04667.md
NPP_0117,deep_learning_nuclear,arxiv_1911.13092,P1,必须修复,13,发布前修复 schema/字段错误；必要时重新生成 metadata。,18,7,Machine learning the deuteron,Machine learning the deuteron,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0117.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\深度学习_核结构\arxiv_1911.13092.md
NPP_0120,deep_learning_nuclear,arxiv_2005.04636,P1,必须修复,1,发布前修复 schema/字段错误；必要时重新生成 metadata。,22,5,The study of Nuclear binding energy for $\mathbf { A } \geq \mathbf { 1 0 0 }$ based on Odd-Even staggering of nuclear masses,The study of Nuclear binding energy for $\mathbf { A } \geq \mathbf { 1 0 0 }$ based on Odd-Even staggering of nuclear masses,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0120.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\深度学习_核结构\arxiv_2005.04636.md
NPP_0122,deep_learning_nuclear,arxiv_2105.02445,P1,必须修复,2,发布前修复 schema/字段错误；必要时重新生成 metadata。,15,1,Machine learning the nuclear mass,Machine learning the nuclear mass,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0122.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\深度学习_核结构\arxiv_2105.02445.md
NPP_0141,deep_learning_nuclear,arxiv_2508.01001,P1,必须修复,1,发布前修复 schema/字段错误；必要时重新生成 metadata。,18,1,Criticality analysis of nuclear binding energy neural networks,Criticality analysis of nuclear binding energy neural networks,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0141.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\深度学习_核结构\arxiv_2508.01001.md
NPP_0179,nuclear_scattering,arxiv_2501.03958,P1,必须修复,2,发布前修复 schema/字段错误；必要时重新生成 metadata。,21,5,Nuclear cross sections from low-energy interactions,Nuclear cross sections from low-energy interactions,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0179.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\核散射_截面\arxiv_2501.03958.md
NPP_0009,alpha_decay_wkb,arxiv_1609.00847,P2,人工复核,2,复核证据，确定保留、修复或替换。,21,4,Shell plus pairing effect arguments for cluster preformation at the nuclear surface in cold fission,Shell plus pairing effect arguments for cluster preformation at the nuclear surface in cold fission,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0009.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_1609.00847.md
NPP_0025,alpha_decay_wkb,arxiv_nucl-th_0510082,P2,人工复核,1,复核证据，确定保留、修复或替换。,6,0,$\alpha$ -nucleus potential for $\alpha$ -decay and sub-barrier fusion,$\alpha$ -nucleus potential for $\alpha$ -decay and sub-barrier fusion,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0025.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_nucl-th_0510082.md
NPP_0036,alpha_decay_liquid_drop,arxiv_2101.07142,P2,人工复核,2,复核证据，确定保留、修复或替换。,14,0,I. INTRODUCTION,I. INTRODUCTION,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0036.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_液滴模型\arxiv_2101.07142.md
NPP_0037,alpha_decay_liquid_drop,arxiv_2201.08268,P2,人工复核,1,复核证据，确定保留、修复或替换。,20,4,On the Stability of Superheavy Nuclei,On the Stability of Superheavy Nuclei,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0037.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_液滴模型\arxiv_2201.08268.md
NPP_0065,alpha_decay_shell_model,arxiv_2108.12484,P2,人工复核,3,复核证据，确定保留、修复或替换。,12,1,Energy dependent ratios of level-density parameters in superheavy nuclei,Energy dependent ratios of level-density parameters in superheavy nuclei,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0065.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_壳模型\arxiv_2108.12484.md
NPP_0069,alpha_decay_shell_model,arxiv_2407.18025,P2,人工复核,1,复核证据，确定保留、修复或替换。,15,4,Alpha-decay from $^ { 4 4 }$ Ti: Microscopic alpha half-live calculation using normalized spectroscopic factor,Alpha-decay from $^ { 4 4 }$ Ti: Microscopic alpha half-live calculation using normalized spectroscopic factor,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0069.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_壳模型\arxiv_2407.18025.md
NPP_0070,alpha_decay_shell_model,arxiv_2506.02684,P2,人工复核,3,复核证据，确定保留、修复或替换。,17,3,"Deformed magic numbers at ${ \bf { { N = 1 7 8 } } }$ and ${ Z = } \mathbf { 1 } 2 \mathbf { 0 }$ , 124 in the ${ \bf 1 1 2 } \le N \le { \bf 1 9 0 }$ superheavy region from Skyrme mean-field calculations","Deformed magic numbers at ${ \bf { { N = 1 7 8 } } }$ and ${ Z = } \mathbf { 1 } 2 \mathbf { 0 }$ , 124 in the ${ \bf 1 1 2 } \le N \le { \bf 1 9 0 }$ superheavy region from Skyrme mean-field calculations",D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0070.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_壳模型\arxiv_2506.02684.md
NPP_0073,alpha_decay_shell_model,arxiv_1604.00296,P2,人工复核,1,复核证据，确定保留、修复或替换。,14,0,Predictions on the alpha decay half lives of Superheavy nuclei with $\mathbf { Z } = \mathbf { 1 } \mathbf { 1 } 3$ in the range $2 5 5 \leq \mathrm { A } \leq 3 1 4$,Predictions on the alpha decay half lives of Superheavy nuclei with $\mathbf { Z } = \mathbf { 1 } \mathbf { 1 } 3$ in the range $2 5 5 \leq \mathrm { A } \leq 3 1 4$,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0073.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_壳模型\arxiv_1604.00296.md
NPP_0078,alpha_decay_cluster_model,arxiv_1505.05013,P2,人工复核,2,复核证据，确定保留、修复或替换。,13,0,Single universal curve for  decay derived from semi-microscopic calculations,Single universal curve for  decay derived from semi-microscopic calculations,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0078.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_团簇模型\arxiv_1505.05013.md
NPP_0079,alpha_decay_cluster_model,arxiv_1809.04952,P2,人工复核,2,复核证据，确定保留、修复或替换。,22,5,Cluster-Daughter Overlap as a New Probe of Alpha-Cluster Formation in Medium-Mass and Heavy Even-Even Nuclei,Cluster-Daughter Overlap as a New Probe of Alpha-Cluster Formation in Medium-Mass and Heavy Even-Even Nuclei,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0079.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_团簇模型\arxiv_1809.04952.md
NPP_0081,alpha_decay_cluster_model,arxiv_2305.05613,P2,人工复核,1,复核证据，确定保留、修复或替换。,18,1,Quest for a Universal Cluster Preformation Formula: A new paradigm for estimating the cluster formation energy,Quest for a Universal Cluster Preformation Formula: A new paradigm for estimating the cluster formation energy,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0081.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_团簇模型\arxiv_2305.05613.md
NPP_0088,alpha_decay_cluster_model,arxiv_2602.24175,P2,人工复核,3,复核证据，确定保留、修复或替换。,12,0,Theoretical Studies of $\alpha$ Clustering in Nuclei and Beyond,Theoretical Studies of $\alpha$ Clustering in Nuclei and Beyond,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0088.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_团簇模型\arxiv_2602.24175.md
NPP_0090,alpha_decay_cluster_model,arxiv_nucl-th_0510082,P2,人工复核,2,复核证据，确定保留、修复或替换。,21,4,$\alpha$ -nucleus potential for $\alpha$ -decay and sub-barrier fusion,$\alpha$ -nucleus potential for $\alpha$ -decay and sub-barrier fusion,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0090.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_nucl-th_0510082.md
NPP_0092,alpha_decay_double_folding,arxiv_0803.4151,P2,人工复核,2,复核证据，确定保留、修复或替换。,14,0,SUPERHEAVY ELEMENTS IN THE MAGIC ISLANDS,SUPERHEAVY ELEMENTS IN THE MAGIC ISLANDS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0092.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_双折叠势模型\arxiv_0803.4151.md
NPP_0107,alpha_decay_double_folding,arxiv_nucl-th_0602008,P2,人工复核,2,复核证据，确定保留、修复或替换。,20,3,"$\alpha$ -nucleus potentials, $\alpha$ -decay half-lives, and shell closures for superheavy nuclei","$\alpha$ -nucleus potentials, $\alpha$ -decay half-lives, and shell closures for superheavy nuclei",D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0107.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_双折叠势模型\arxiv_nucl-th_0602008.md
NPP_0110,deep_learning_nuclear,arxiv_1301.2407,P2,人工复核,2,复核证据，确定保留、修复或替换。,15,0,Systematics on ground-state energies of nuclei within the neural networks,Systematics on ground-state energies of nuclei within the neural networks,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0110.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\深度学习_核结构\arxiv_1301.2407.md
NPP_0119,deep_learning_nuclear,arxiv_2003.07050,P2,人工复核,1,复核证据，确定保留、修复或替换。,17,0,Determination of Photonuclear Reaction Cross-Sections on stable p-shell Nuclei by Using Deep Neural Networks,Determination of Photonuclear Reaction Cross-Sections on stable p-shell Nuclei by Using Deep Neural Networks,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0119.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\深度学习_核结构\arxiv_2003.07050.md
NPP_0121,deep_learning_nuclear,arxiv_2101.12117,P2,人工复核,1,复核证据，确定保留、修复或替换。,17,0,Nuclear binding energy predictions using neural networks: Application of the multilayer perceptron,Nuclear binding energy predictions using neural networks: Application of the multilayer perceptron,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0121.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\深度学习_核结构\arxiv_2101.12117.md
NPP_0123,deep_learning_nuclear,arxiv_2112.12562,P2,人工复核,2,复核证据，确定保留、修复或替换。,20,7,Artificial Intelligence Supported Shell-Model Calculations for Light Sn Isotopes,Artificial Intelligence Supported Shell-Model Calculations for Light Sn Isotopes,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0123.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\深度学习_核结构\arxiv_2112.12562.md
NPP_0126,deep_learning_nuclear,arxiv_2208.04783,P2,人工复核,1,复核证据，确定保留、修复或替换。,17,0,Nuclear mass predictions with machine learning reaching the accuracy required by $r$ -process studies,Nuclear mass predictions with machine learning reaching the accuracy required by $r$ -process studies,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0126.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\深度学习_核结构\arxiv_2208.04783.md
NPP_0129,deep_learning_nuclear,arxiv_2306.11314,P2,人工复核,2,复核证据，确定保留、修复或替换。,19,4,Analysis of a Skyrme energy density functional with deep learning,Analysis of a Skyrme energy density functional with deep learning,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0129.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\深度学习_核结构\arxiv_2306.11314.md
