id,risk_level,risk_dir,source_path,audited_path,issue_count,changes_applied
NPP_0001,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0001.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0001.json,0,
NPP_0002,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0002.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0002.json,1,
NPP_0004,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0004.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0004.json,3,metrics.half_life_of_212Po：将条件说明从 unit 移入 interpretation | metrics.half_life_of_144Nd：将条件说明从 unit 移入 interpretation | metrics.average_relative_root_mean_square_deviation_for_x2：将条件说明从 unit 移入 interpretation
NPP_0005,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0005.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0005.json,0,
NPP_0006,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0006.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0006.json,1,
NPP_0007,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0007.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0007.json,1,metrics.Q_____1_2：将条件说明从 unit 移入 interpretation
NPP_0008,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0008.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0008.json,2,metrics.total_half_time_data_points：将条件说明从 unit 移入 interpretation
NPP_0009,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0009.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0009.json,2,
NPP_0011,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0011.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0011.json,2,metrics.Effective_sharp_radius_of___particle_R_1：将条件说明从 unit 移入 interpretation
NPP_0012,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0012.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0012.json,2,metrics.log10_T1_2__for_207Pb：将条件说明从 unit 移入 interpretation
NPP_0013,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0013.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0013.json,2,metrics.result_1：将条件说明从 unit 移入 interpretation | metrics.result_2：将条件说明从 unit 移入 interpretation
NPP_0015,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0015.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0015.json,1,
NPP_0016,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0016.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0016.json,3,metrics.Q___prediction_dataset_size：将条件说明从 unit 移入 interpretation | metrics.Half_life_prediction_dataset_size：将条件说明从 unit 移入 interpretation
NPP_0017,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0017.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0017.json,1,
NPP_0018,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0018.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0018.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0019,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0019.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0019.json,1,
